Title,Note
Travel Tourism Sites,Travel and Tourism Site for Vermont -- Note added 6/6/13 19:19
Cooperative Extension Service,Alabama Cooperative Extension System -- Note added 6/12/13 16:37
Cooperative Extension Service,New Mexico Cooperative Extension Publications -- Note added 7/25/13 17:38
Agriculture Consumer Services,Alabama Department of Public Health -- Note added 6/12/13 16:40
Travel Tourism Sites,Travel and Tourism Site for Alabama -- Note added 6/6/13 19:22
include state agencies,Alabama National Guard Counterdrug Program -- Note added 1/23/14 13:41
pattern include state,Alabama State Board of Medical Examiners (an administrative and regulatory agency of the state of Alabama) and the Medical Licensure Commission of Alabama -- Note added 6/12/13 16:46
Travel Tourism Sites,Travel and Tourism Site for American Samoa -- Note added 6/6/13 19:22
include state agencies,Arkansas National Guard -- Note added 1/23/14 13:42
Travel Tourism Sites,Travel and Tourism Site for Arizona -- Note added 6/6/13 19:16
Travel Tourism Sites,Travel and Tourism Site for Arkansas -- Note added 6/6/13 19:23
Department Cultural Resources,Arkansas Economic Development Coorporation (AEDC) -- Note added 1/24/14 14:36
pattern include state,Arkansas State Board of Optometry -- Note added 11/18/13 15:44
pattern include state,Arkansas State Board of Physical Therapy -- Note added 11/18/13 15:45
pattern include state,Arkansas State Board of Collection Agencies -- Note added 11/18/13 15:45
pattern include state,Arizona State Board of Dental Examiners -- Note added 12/11/13 13:50
Agriculture Consumer Services,"California Environmental Health Tracking Program, California Department of Public Health -- Note added 10/24/14 12:09"
Department Cultural Resources,Maryland Department of Business and Economic Development -- Note added 1/10/14 19:17
Department Public Health,Connecticut Historical SocietyMuseum and Library -- Note added 12/15/14 6:22
Travel Tourism Sites,Travel and Tourism Site for Colorado -- Note added 6/6/13 19:23
state agencies,"Center for Technology at the University at Albany, State University of New York -- Note added 6/29/15 15:02"
Travel Tourism Sites,Travel and Tourism Site for Connecticut -- Note added 6/6/13 19:28
include state agencies,Delaware National Guard -- Note added 1/23/14 14:03
Travel Tourism Sites,Travel and Tourism Site for Ohio -- Note added 6/6/13 19:30
Travel Tourism Sites,Travel and Tourism Site for South Carolina -- Note added 6/6/13 19:30
include state agencies,Wisconsin National Guard Drug Control Program -- Note added 1/23/14 14:03
State University Extension,Washington State University ExtensionEnergy Program -- Note added 11/20/14 7:13
Travel Tourism Sites,Travel and Tourism Site for Georgia -- Note added 6/6/13 19:36
Cooperative Extension Service,Virginia Cooperative Extension  -- Note added 6/6/14 20:29
State University Extension,Washington State University Extension -- Note added 11/20/14 7:10
State University Extension,West Virginia University Extension Service -- Note added 7/24/14 5:33
State University Extension,Iowa State University Extension -- Note added 8/25/15 20:26
